TRI Facility Name,TRI Facility ID,Year,ZIP Code,City,County,State,EPA Region,Chemical,DCN,Industry Sector,NAICS Code,Parent Company,Federal Facility Agency Name,Releases (lb),Air Releases (lb),Water Releases (lb),Land Releases (lb),Off-Site Releases (lb),Waste Managed (lb),RSEI Score
PROMEGA BIOSCIENCES LLC,93401JBLSC277GR,2018,93401,"SAN LUIS OBISPO, CA","SAN LUIS OBISPO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Methanol (67-56-1),1318217280940,325 Chemicals,325413 In-Vitro Diagnostic Substance Manufacturing,PROMEGA CORP,       ,391.20,391.20,0.00,0.00,0.00,"7,668.20",0
KERN OIL & REFINING CO,93307KRNLRRR677,2020,93307,"BAKERSFIELD, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ethylbenzene (100-41-4),1320219377090,324 Petroleum,324110 Petroleum Refineries,CASEY CO,       ,391.07,384.00,0.00,0.63,6.44,"1,694.51",44
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2020,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Mercury (7439-97-6),1320219147093,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,390.74,0.00,0.00,322.06,68.68,390.74,0
VALERO WILMINGTON ASPHALT PLANT,90744HNTWY1651A,2020,90744,"WILMINGTON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",n-Hexane (110-54-3),1320219259761,324 Petroleum,324110 Petroleum Refineries,VALERO ENERGY CORP,       ,390.00,390.00,0.00,0.00,0.00,390.00,1
JAMES HARDIE BUILDING PRODUCTS FONTANA,92337JMSHR10901,2020,92337,"FONTANA, CA","SAN BERNARDINO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead compounds (N420),1320219191350,327 Nonmetallic Mineral Product,327390 Other Concrete Product Manufacturing,JAMES HARDIE BUILDING PRODUCTS INC,       ,389.76,0.00,0.00,0.00,389.76,389.76,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2018,90745,"CARSON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Vanadium compounds (N770),1318217234335,324 Petroleum,324110 Petroleum Refineries,MARATHON PETROLEUM CORP,       ,389.00,3.00,0.00,0.00,386.00,396.00,0
TRICAL MOJAVE,93501NKLRC1667P,2020,93501,"MOJAVE, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Bromomethane (Methyl bromide) (74-83-9),1320218819163,325 Chemicals,325320 Pesticide and Other Agricultural Chemical Manufacturing,TRICAL INC,       ,389.00,389.00,0.00,0.00,0.00,389.00,2
CALPORTLAND CO MOJAVE PLANT,93502CLFRN9350O,2018,93501,"MOJAVE, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead and lead compounds (N420),1318216974055,327 Nonmetallic Mineral Product,327310 Cement Manufacturing,TAIHEIYO CEMENT USA INC,       ,388.20,388.20,0.00,0.00,0.00,388.20,7
OAKLEY INC,92610KLYNC1ICON,2020,92610,"FOOTHILL RANCH, CA","ORANGE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ethylbenzene (100-41-4),1320219089354,339 Miscellaneous Manufacturing,339115 Ophthalmic Goods Manufacturing,LUXOTTICA RETAIL NORTH AMERICA,       ,387.47,387.47,0.00,0.00,0.00,698.70,92
ECO SERVICES OPERATIONS CORP,90746STFFR20720,2019,90746,"CARSON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Vanadium compounds (N770),1319218262929,325 Chemicals,325180 Other Basic Inorganic Chemical Manufacturing,PQ CORP,       ,387.11,1.81,0.00,0.00,385.30,387.11,0
BRISTOL INDUSTRIES LLC,92621BRSTL630EL,2018,92821,"BREA, CA","ORANGE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nickel (7440-02-0),1318217421003,332 Fabricated Metals,"332722 Bolt, Nut, Screw, Rivet, and Washer Manufacturing",STANLEY BLACK & DECKER,       ,387.00,0.00,0.00,0.00,387.00,"74,756.00",0
TRICAL MOJAVE,93501NKLRC1667P,2019,93501,"MOJAVE, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Bromomethane (Methyl bromide) (74-83-9),1319218083259,325 Chemicals,325320 Pesticide and Other Agricultural Chemical Manufacturing,TRICAL INC,       ,387.00,387.00,0.00,0.00,0.00,388.00,2
ROHM & HAAS CHEMICALS LLC,94545RHMND25500,2020,94545,"HAYWARD, CA","ALAMEDA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Acrylonitrile (107-13-1),1320219392901,325 Chemicals,325211 Plastics Material and Resin Manufacturing,DOW INC,       ,386.72,386.00,0.00,0.00,0.72,799.00,"25,122"
UNIVAR SOLUTIONS CARSON CA,90810SHLND20915,2019,90810,"CARSON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)","N,N-Dimethylformamide (68-12-2)",1319218493221,4246 Chemical Wholesalers,424690 Other Chemical and Allied Products Merchant Wholesalers,UNIVAR SOLUTIONS USA INC,       ,386.39,83.39,0.00,0.00,303.00,"2,228.19",8
TRICAL MOJAVE,93501NKLRC1667P,2018,93501,"MOJAVE, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)","1,3-Dichloropropylene (542-75-6)",1318217164983,325 Chemicals,325320 Pesticide and Other Agricultural Chemical Manufacturing,TRICAL INC,       ,386.00,386.00,0.00,0.00,0.00,"15,726.00",26
TRICAL MOJAVE,93501NKLRC1667P,2018,93501,"MOJAVE, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Bromomethane (Methyl bromide) (74-83-9),1318217164995,325 Chemicals,325320 Pesticide and Other Agricultural Chemical Manufacturing,TRICAL INC,       ,386.00,386.00,0.00,0.00,0.00,387.00,2
BARBOSA CABINETS,9530WBRBSC22EGR,2019,95304,"TRACY, CA","SAN JOAQUIN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Xylene (mixed isomers) (1330-20-7),1319218075657,337 Furniture,337110 Wood Kitchen Cabinet and Countertop Manufacturing,BARBOSA CABINETS,       ,385.50,135.50,0.00,0.00,250.00,635.50,0
LIGHT METALS INC,91746LGHTM13329,2020,91746,"CITY OF INDUSTRY, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper (7440-50-8),1320219374752,331 Primary Metals,331314 Secondary Smelting and Alloying of Aluminum,CUSTOM ALLOY SALES INC,       ,385.18,6.68,0.05,0.00,378.45,"41,937.97",4
ENGINEERED POLYMER SOLUTIONS INC,90040THMCC5501E,2020,90040,"CITY OF COMMERCE, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Naphthalene (91-20-3),1320219152372,325 Chemicals,325510 Paint and Coating Manufacturing,THE SHERWIN-WILLIAMS CO,       ,385.00,0.00,0.00,0.00,385.00,"1,756.00",0
PHILLIPS 66 LOS ANGELES REFINERY WILMINGTON PLANT,90748NCLLS1660W,2019,90744,"WILMINGTON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Naphthalene (91-20-3),1319218073169,324 Petroleum,324110 Petroleum Refineries,PHILLIPS 66 CO,       ,385.00,361.00,0.00,0.00,24.00,604.00,"1,599"
DAVIS WIRE CORP,91706DVSWL5555I,2020,91706,"BALDWIN PARK, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nickel (7440-02-0),1320218787529,331 Primary Metals,331222 Steel Wire Drawing,THE HEICO COS LLC,       ,384.12,0.65,0.00,0.00,383.47,"6,779.98",468
CALPORTLAND CO MOJAVE PLANT,93502CLFRN9350O,2020,93501,"MOJAVE, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead and lead compounds (N420),1320218675522,327 Nonmetallic Mineral Product,327310 Cement Manufacturing,TAIHEIYO CEMENT USA INC,       ,383.00,383.00,0.00,0.00,0.00,383.00,7
CHEVRON VAN NUYS TERMINAL,91411VNNYS15359,2018,91411,"VAN NUYS, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",n-Hexane (110-54-3),1318216862627,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,CHEVRON CORP,       ,382.00,382.00,0.00,0.00,0.00,"1,081.00",2
KINGSPAN LIGHT + AIR,92707BRSTL401EG,2018,92707,"SANTA ANA, CA","ORANGE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Styrene (100-42-5),1318217225832,332 Fabricated Metals,332323 Ornamental and Architectural Metal Work Manufacturing,KINGSPAN GROUP PLC,       ,382.00,382.00,0.00,0.00,0.00,"7,638.61",0
NORTHROP GRUMMAN SYSTEMS CORP,94088WSTNG401EH,2020,94086,"SUNNYVALE, CA","SANTA CLARA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Chromium and chromium compounds (N090),1320219048663,333 Machinery,333611 Turbine and Turbine Generator Set Units Manufacturing,NORTHROP GRUMMAN CORP,       ,381.88,0.00,0.72,0.00,381.16,"10,152.18",13
EQUILON MORMON ISLAND TERMINAL,90744SHLLLBERTH,2018,90744,"WILMINGTON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Xylene (mixed isomers) (1330-20-7),1318217199847,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,EQUILON ENTERPRISES LLC,       ,381.00,286.00,0.00,0.00,95.00,386.00,3
NEWPORT FAB LLC (DBA TOWERJAZZ),92660NWPRT4321J,2020,92660,"NEWPORT BEACH, CA","ORANGE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Sulfuric acid (7664-93-9),1320219387293,334 Computers and Electronic Products,334413 Semiconductor and Related Device Manufacturing,NEWPORT FAB LLC (DBA TOWERJAZZ),       ,380.00,380.00,0.00,0.00,0.00,"459,920.00",381
TESORO - COLTON TERMINAL,92316RCCLT2395S,2019,92316,"BLOOMINGTON, CA","SAN BERNARDINO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",n-Hexane (110-54-3),1319218223408,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,MARATHON PETROLEUM CORP,       ,380.00,380.00,0.00,0.00,0.00,"36,422.00",1
TESORO - VINVALE TERMINAL,90280RCPRD8601S,2019,90280,"SOUTH GATE, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",n-Hexane (110-54-3),1319218222812,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,MARATHON PETROLEUM CORP,       ,380.00,380.00,0.00,0.00,0.00,"62,380.00",1
US NATL PARK SERVICE YOSEMITE NATL PARK,95318SNTNLPOBOX,2020,95389,"YOSEMITE NATIONAL PARK, CA","MARIPOSA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead (7439-92-1),1320218747487,999 Other,924120 Administration of Conservation Programs,US DEPARTMENT OF THE INTERIOR,DOI,380.00,0.00,0.00,380.00,0.00,380.00,0
VALERO WILMINGTON ASPHALT PLANT,90744HNTWY1651A,2019,90744,"WILMINGTON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",n-Hexane (110-54-3),1319218442109,324 Petroleum,324110 Petroleum Refineries,VALERO ENERGY CORP,       ,380.00,380.00,0.00,0.00,0.00,380.00,1
CHEVRON MONTEBELLO TERMINAL,90640CHVRN601SV,2020,90640,"MONTEBELLO, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Toluene (108-88-3),1320219087766,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,CHEVRON CORP,       ,379.00,379.00,0.00,0.00,0.00,"1,010.00",0
US DOD USAF EDWARDS AFB CA,93524RFRCF1SROS,2020,93524,"EDWARDS, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Naphthalene (91-20-3),1320218760054,999 Other,928110 National Security,US DEPARTMENT OF DEFENSE,DOD,379.00,379.00,0.00,0.00,0.00,"3,982.00",17
BEHR PROCESS CORP - GARRY & YALE,92704BHRPR3400W,2020,92704,"SANTA ANA, CA","ORANGE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Glycol ethers (N230),1320219313499,325 Chemicals,325510 Paint and Coating Manufacturing,MASCO CORP,       ,378.66,83.96,0.00,0.00,294.70,378.66,12
FORGED METALS INC,92337FRGDM1685B,2020,92337,"FONTANA, CA","SAN BERNARDINO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Cobalt (7440-48-4),1320219218005,332 Fabricated Metals,332112 Nonferrous Forging,HOWMET AEROSPACE INC,       ,378.00,0.00,1.00,0.00,377.00,"14,054.00",0
PCC STRUCTURALS-SAN LEANDRO,94577PRCSN414HE,2019,94577,"SAN LEANDRO, CA","ALAMEDA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nickel (7440-02-0),1319217943265,331 Primary Metals,331512 Steel Investment Foundries,BERKSHIRE HATHAWAY INC,       ,378.00,1.00,0.00,0.00,377.00,"393,154.00",236
THUNDERBOLT WOOD TREATING,95367THNDR34PAT,2020,95367,"RIVERBANK, CA","STANISLAUS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Chromium (7440-47-3),1320218805479,321 Wood Products,321114 Wood Preservation,NA,       ,378.00,0.00,0.00,0.00,378.00,378.00,0
CHAMPIONX-BAKERSFIELD,93313CHMPN6321D,2019,93313,"BAKERSFIELD, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Methanol (67-56-1),1319218158590,4246 Chemical Wholesalers,424690 Other Chemical and Allied Products Merchant Wholesalers,CHAMPIONX CORP,NA,377.90,377.90,0.00,0.00,0.00,"4,312.90",0
AGILENT TECHNOLOGIES INC,95630GLNTT91BLU,2020,95630,"FOLSOM, CA","SACRAMENTO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Toluene (108-88-3),1320219062876,334 Computers and Electronic Products,334516 Analytical Laboratory Instrument Manufacturing,AGILENT TECHNOLOGIES INC,       ,377.00,377.00,0.00,0.00,0.00,"35,486.00",0
ALL METALS PROCESSING OF ORANGE COUNTY LLC,90680LLMTL8401S,2018,90680,"STANTON, CA","ORANGE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead compounds (N420),1318216810376,332 Fabricated Metals,"332813 Electroplating, Plating, Polishing, Anodizing, and Coloring",NOBLE AEROSPACE LLC,       ,377.00,0.00,0.00,0.00,377.00,377.00,0
SILGAN CONTAINER MANUFACTURING CORP,95367SLGNC3250P,2018,95367,"RIVERBANK, CA","STANISLAUS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Methyl isobutyl ketone (108-10-1),1318218619120,332 Fabricated Metals,332431 Metal Can Manufacturing,SILGAN HOLDINGS INC,       ,377.00,377.00,0.00,0.00,0.00,"9,332.00",0
BRENNTAG PACIFIC INC,94804GRTWS860WH,2018,94804,"RICHMOND, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ethylene glycol (107-21-1),1318216775294,4246 Chemical Wholesalers,424690 Other Chemical and Allied Products Merchant Wholesalers,BRENNTAG NORTH AMERICA INC,       ,376.77,126.77,0.00,0.00,250.00,376.77,0
SKYWORKS SOLUTIONS INC,91320RCKWL2427W,2020,91320,"NEWBURY PARK, CA","VENTURA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ammonia (7664-41-7),1320219347667,334 Computers and Electronic Products,334413 Semiconductor and Related Device Manufacturing,SKYWORKS SOLUTIONS INC,       ,376.20,376.20,0.00,0.00,0.00,"2,540.20",1
MARTINEZ REFINING CO LLC,94553SHLLL3485P,2020,94553,"MARTINEZ, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead compounds (N420),1320218959207,324 Petroleum,324110 Petroleum Refineries,PBF ENERGY INC,       ,375.00,17.00,190.00,0.00,168.00,616.00,23
SOLVAY USA INC,90801LNZNC20851,2020,90810,"LONG BEACH, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Methanol (67-56-1),1320218663399,325 Chemicals,325613 Surface Active Agent Manufacturing,SOLVAY HOLDING INC,       ,374.88,303.20,0.00,0.00,71.68,"206,796.20",0
AXIOM MATERIALS,9270WXMMTR2322P,2018,92705,"SANTA ANA, CA","ORANGE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Tetrabromobisphenol-A (TBBPA) (79-94-7),1318216781296,313 Textiles,313320 Fabric Coating Mills,KORDSA INC,       ,374.50,374.50,0.00,0.00,0.00,374.50,0
PACIFIC ETHANOL MADERA LLC,93637PCFCT3147A,2019,93638,"MADERA, CA","MADERA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Methanol (67-56-1),1319218502882,325 Chemicals,325193 Ethyl Alcohol Manufacturing,PACIFIC ETHANOL INC,       ,374.00,374.00,0.00,0.00,0.00,"32,370.00",0
UNIVAR SOLUTIONS FAIRFIELD CA,94533SHLND2461C,2018,94533,"FAIRFIELD, CA","SOLANO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Glycol ethers (N230),1318216949709,4246 Chemical Wholesalers,424690 Other Chemical and Allied Products Merchant Wholesalers,UNIVAR SOLUTIONS USA INC,       ,374.00,374.00,0.00,0.00,0.00,693.00,12
FEDERAL BUREAU OF PRISONS FCI HERLONG,9611WFDRLB74192,2019,96113,"HERLONG, CA","LASSEN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead (7439-92-1),1319217700311,999 Other,922140 Correctional Institutions,US DEPARTMENT OF JUSTICE,DOJ,373.96,0.22,0.00,373.74,0.00,373.96,0
FEDERAL BUREAU OF PRISONS FCI HERLONG,9611WFDRLB74192,2020,96113,"HERLONG, CA","LASSEN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead (7439-92-1),1320218591257,999 Other,922140 Correctional Institutions,US DEPARTMENT OF JUSTICE,DOJ,373.96,0.22,0.00,373.74,0.00,373.96,0
SIERRA ALUMINUM CO PLANT II,92355BNNZL11711,2019,92337,"FONTANA, CA","SAN BERNARDINO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ethylbenzene (100-41-4),1319217831142,331 Primary Metals,"331318 Other Aluminum Rolling, Drawing, and Extruding",SIERRA ALUMINUM CO,       ,372.68,372.68,0.00,0.00,0.00,"41,674.22",131
KERN OIL & REFINING CO,93307KRNLRRR677,2018,93307,"BAKERSFIELD, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Naphthalene (91-20-3),1318217471592,324 Petroleum,324110 Petroleum Refineries,CASEY CO,       ,372.29,370.00,0.00,2.00,0.29,380.29,525
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2019,90745,"CARSON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead and lead compounds (N420),1319218150237,324 Petroleum,324110 Petroleum Refineries,MARATHON PETROLEUM CORP,       ,372.10,17.10,3.90,0.00,351.10,"11,241.00",240
VACCO INDUSTRIES,91733VCCND10350,2018,91733,"SOUTH EL MONTE, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nickel (7440-02-0),1318217298470,332 Fabricated Metals,332999 All Other Miscellaneous Fabricated Metal Product Manufacturing,ESCO TECHNOLOGIES INC,       ,371.53,0.00,0.00,0.00,371.53,373.35,2
TESORO - COLTON TERMINAL,92316RCCLT2395S,2020,92316,"BLOOMINGTON, CA","SAN BERNARDINO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",n-Hexane (110-54-3),1320219094810,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,MARATHON PETROLEUM CORP,       ,371.00,370.00,0.00,0.00,1.00,"33,427.00",1
HAWKER PACIFIC AEROSPACE,91352FLGHT11310,2020,91352,"SUN VALLEY, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Cadmium (7440-43-9),1320218822993,336 Transportation Equipment,336413 Other Aircraft Parts and Auxiliary Equipment Manufacturing,LUFTHANSA TECHNIK AG,       ,370.00,0.00,0.00,0.00,370.00,384.00,0
ITW POLYMERS SEALANTS NA,92641PCFCP12271,2020,92841,"GARDEN GROVE, CA","ORANGE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Toluenediisocyanate (26471-62-5),1320218723397,325 Chemicals,325510 Paint and Coating Manufacturing,ILLINOIS TOOL WORKS INC,       ,370.00,250.00,0.00,0.00,120.00,140.00,"10,378"
KAWNEER CO INC,93291KWNRC7200D,2020,93291,"VISALIA, CA","TULARE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Glycol ethers (N230),1320219347263,332 Fabricated Metals,332321 Metal Window and Door Manufacturing,ARCONIC CORP,       ,370.00,370.00,0.00,0.00,0.00,"17,758.00",8
NUSIL TECHNOLOGY LLC,93308SLXNS2343P,2019,93308,"BAKERSFIELD, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ethylbenzene (100-41-4),1319218313854,325 Chemicals,325199 All Other Basic Organic Chemical Manufacturing,AVANTOR PERFORMANCE MATERIALS INC,       ,370.00,370.00,0.00,0.00,0.00,"35,370.00",77
PACIFIC ETHANOL MADERA LLC,93637PCFCT3147A,2018,93638,"MADERA, CA","MADERA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Methanol (67-56-1),1318217513340,325 Chemicals,325193 Ethyl Alcohol Manufacturing,PACIFIC ETHANOL INC,       ,370.00,370.00,0.00,0.00,0.00,"41,370.00",0
TESORO - SAN DIEGO TERMINAL,92113RCSND2295E,2018,92113,"SAN DIEGO, CA","SAN DIEGO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Toluene (108-88-3),1318217060401,4247 Petroleum Bulk Terminals,424710 Petroleum Bulk Stations and Terminals,MARATHON PETROLEUM CORP,       ,370.00,370.00,0.00,0.00,0.00,"25,371.00",0
CERTIFIED ALLOY PRODUCTS INC,90801CRTFD3245C,2019,90807,"LONG BEACH, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nickel (7440-02-0),1319219374257,331 Primary Metals,331513 Steel Foundries (except Investment),NA,       ,369.00,248.00,30.00,0.00,91.00,"377,936.00","112,535"
ENGINEERED POLYMER SOLUTIONS INC,90040THMCC5501E,2019,90040,"CITY OF COMMERCE, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Styrene (100-42-5),1319218318741,325 Chemicals,325510 Paint and Coating Manufacturing,THE SHERWIN-WILLIAMS CO,       ,369.00,369.00,0.00,0.00,0.00,"1,410.00",0
PRC-DESOTO INTERNATIONAL INC,93501PRDCT11601,2019,93501,"MOJAVE, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Methyl isobutyl ketone (108-10-1),1319218427476,325 Chemicals,325520 Adhesive Manufacturing,PPG INDUSTRIES INC,       ,369.00,369.00,0.00,0.00,0.00,"117,986.00",0
TRUCK ACCESSORIES GROUP DBA TAG WEST,95695LRWST1686E,2020,95776,"WOODLAND, CA","YOLO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Toluene (108-88-3),1320218627521,336 Transportation Equipment,336214 Travel Trailer and Camper Manufacturing,JB POINDEXTER & CO INC,       ,369.00,369.00,0.00,0.00,0.00,"7,551.00",0
AMPINE: A DIV OF TIMBER PRODUCTS,95654GRGPCPOBOX,2018,95685,"SUTTER CREEK, CA","AMADOR, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Diisocyanates (N120),1318218462846,321 Wood Products,321219 Reconstituted Wood Product Manufacturing,TIMBER PRODUCTS CO,       ,368.50,368.50,0.00,0.00,0.00,368.50,"1,993"
ATI FORGED PRODUCTS,9261WTCHNT9WRIG,2018,92618,"IRVINE, CA","ORANGE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nickel (7440-02-0),1318217476199,332 Fabricated Metals,332112 Nonferrous Forging,ALLEGHENY TECHNOLOGIES INC,       ,368.00,26.00,0.00,0.00,342.00,368.00,"8,035"
PHILLIPS 66 LOS ANGELES REFINERY WILMINGTON PLANT,90748NCLLS1660W,2020,90744,"WILMINGTON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Naphthalene (91-20-3),1320219144995,324 Petroleum,324110 Petroleum Refineries,PHILLIPS 66 CO,       ,368.00,357.00,0.00,0.00,11.00,470.00,"1,538"
SILGAN CONTAINERS MFG CORP,94509WSTRN2200W,2018,94509,"ANTIOCH, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Xylene (mixed isomers) (1330-20-7),1318218624587,332 Fabricated Metals,332431 Metal Can Manufacturing,SILGAN HOLDINGS INC,       ,366.00,366.00,0.00,0.00,0.00,"52,149.00",1
TRICAL MOJAVE,93501NKLRC1667P,2019,93501,"MOJAVE, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)","1,3-Dichloropropylene (542-75-6)",1319218083246,325 Chemicals,325320 Pesticide and Other Agricultural Chemical Manufacturing,TRICAL INC,       ,366.00,366.00,0.00,0.00,0.00,"4,916.00",25
TRICAL MOJAVE,93501NKLRC1667P,2020,93501,"MOJAVE, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)","1,3-Dichloropropylene (542-75-6)",1320218819151,325 Chemicals,325320 Pesticide and Other Agricultural Chemical Manufacturing,TRICAL INC,       ,366.00,366.00,0.00,0.00,0.00,366.00,25
ULTRAMAR INC MARINE TERMINAL,90744LTRMR961LA,2019,90744,"WILMINGTON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Toluene (108-88-3),1319218428643,324 Petroleum,324110 Petroleum Refineries,VALERO ENERGY CORP,       ,364.00,364.00,0.00,0.00,0.00,363.00,0
